COMMUNITY_AREA,RACE,AGE,SEX,Count
CHICAGO LAWN,UNKNOWN,40-49,M,1
CHICAGO LAWN,UNKNOWN,50-59,M,1
CHICAGO LAWN,UNKNOWN,UNKNOWN,UNKNOWN,17
CHICAGO LAWN,WBH,0-19,F,1
CHICAGO LAWN,WBH,20-29,M,5
CHICAGO LAWN,WBH,30-39,M,4
CHICAGO LAWN,WHI,0-19,F,1
CHICAGO LAWN,WHI,0-19,M,2
CHICAGO LAWN,WHI,20-29,F,2
CHICAGO LAWN,WHI,20-29,M,5
CHICAGO LAWN,WHI,30-39,F,1
CHICAGO LAWN,WHI,30-39,M,4
CHICAGO LAWN,WHI,40-49,M,3
CHICAGO LAWN,WHI,50-59,M,4
CHICAGO LAWN,WWH,0-19,F,10
CHICAGO LAWN,WWH,0-19,M,73
CHICAGO LAWN,WWH,20-29,F,16
CHICAGO LAWN,WWH,20-29,M,95
CHICAGO LAWN,WWH,30-39,F,11
CHICAGO LAWN,WWH,30-39,M,40
CHICAGO LAWN,WWH,40-49,F,3
CHICAGO LAWN,WWH,40-49,M,20
CHICAGO LAWN,WWH,50-59,M,5
CHICAGO LAWN,WWH,60-69,M,5
CHICAGO LAWN,WWH,70-79,F,1
CHICAGO LAWN,WWH,70-79,M,1
CHICAGO LAWN,WWH,UNKNOWN,F,1
CLEARING,BLK,20-29,M,1
CLEARING,BLK,30-39,M,2
CLEARING,BLK,40-49,M,1
CLEARING,WHI,20-29,M,3
CLEARING,WHI,30-39,M,4
CLEARING,WHI,60-69,F,1
CLEARING,WWH,0-19,F,1
CLEARING,WWH,0-19,M,6
CLEARING,WWH,20-29,M,7
CLEARING,WWH,30-39,M,3
CLEARING,WWH,40-49,M,1
DOUGLAS,API,0-19,M,1
DOUGLAS,API,20-29,M,1
DOUGLAS,BLK,0-19,F,12
DOUGLAS,BLK,0-19,M,60
DOUGLAS,BLK,0-19,UNKNOWN,1
DOUGLAS,BLK,20-29,F,8
DOUGLAS,BLK,20-29,M,101
DOUGLAS,BLK,30-39,F,8
DOUGLAS,BLK,30-39,M,50
DOUGLAS,BLK,40-49,F,3
DOUGLAS,BLK,40-49,M,17
DOUGLAS,BLK,50-59,F,2
DOUGLAS,BLK,50-59,M,8
DOUGLAS,BLK,60-69,F,3
DOUGLAS,BLK,60-69,M,5
DOUGLAS,BLK,70-79,F,1
DOUGLAS,BLK,80+,F,1
DOUGLAS,BLK,UNKNOWN,F,1
DOUGLAS,BLK,UNKNOWN,M,2
DOUGLAS,UNKNOWN,0-19,M,1
DOUGLAS,UNKNOWN,20-29,F,1
DOUGLAS,UNKNOWN,20-29,M,2
DOUGLAS,UNKNOWN,UNKNOWN,UNKNOWN,3
DOUGLAS,WBH,50-59,M,1
DOUGLAS,WWH,30-39,M,1
DUNNING,API,60-69,M,1
DUNNING,BLK,30-39,M,1
DUNNING,BLK,40-49,M,1
DUNNING,UNKNOWN,UNKNOWN,UNKNOWN,2
DUNNING,WBH,0-19,M,1
DUNNING,WBH,20-29,M,1
DUNNING,WHI,0-19,F,1
DUNNING,WHI,0-19,M,1
DUNNING,WHI,20-29,F,1
DUNNING,WHI,20-29,M,8
DUNNING,WHI,30-39,F,1
DUNNING,WHI,30-39,M,3
DUNNING,WHI,40-49,F,1
DUNNING,WHI,40-49,M,2
DUNNING,WHI,50-59,M,1
DUNNING,WHI,60-69,F,1
DUNNING,WHI,60-69,M,1
DUNNING,WHI,80+,F,1
DUNNING,WWH,0-19,F,1
DUNNING,WWH,0-19,M,2
DUNNING,WWH,20-29,F,1
DUNNING,WWH,20-29,M,12
DUNNING,WWH,30-39,F,1
DUNNING,WWH,30-39,M,6
DUNNING,WWH,40-49,M,4
DUNNING,WWH,50-59,M,1
EAST GARFIELD PARK,API,30-39,M,1
EAST GARFIELD PARK,API,50-59,M,1
EAST GARFIELD PARK,BLK,0-19,F,35
EAST GARFIELD PARK,BLK,0-19,M,242
EAST GARFIELD PARK,BLK,20-29,F,56
EAST GARFIELD PARK,BLK,20-29,M,568
EAST GARFIELD PARK,BLK,30-39,F,35
EAST GARFIELD PARK,BLK,30-39,M,309
EAST GARFIELD PARK,BLK,40-49,F,20
EAST GARFIELD PARK,BLK,40-49,M,121
EAST GARFIELD PARK,BLK,50-59,F,6
EAST GARFIELD PARK,BLK,50-59,M,45
EAST GARFIELD PARK,BLK,50-59,UNKNOWN,1
EAST GARFIELD PARK,BLK,60-69,F,4
EAST GARFIELD PARK,BLK,60-69,M,9
EAST GARFIELD PARK,BLK,70-79,F,2
EAST GARFIELD PARK,BLK,UNKNOWN,F,1
EAST GARFIELD PARK,BLK,UNKNOWN,M,2
EAST GARFIELD PARK,UNKNOWN,0-19,M,2
EAST GARFIELD PARK,UNKNOWN,20-29,F,3
EAST GARFIELD PARK,UNKNOWN,20-29,M,3
EAST GARFIELD PARK,UNKNOWN,30-39,F,4
EAST GARFIELD PARK,UNKNOWN,30-39,M,4
EAST GARFIELD PARK,UNKNOWN,40-49,M,1
EAST GARFIELD PARK,UNKNOWN,UNKNOWN,M,2
EAST GARFIELD PARK,UNKNOWN,UNKNOWN,UNKNOWN,20
EAST GARFIELD PARK,WBH,20-29,M,2
EAST GARFIELD PARK,WBH,30-39,M,1
EAST GARFIELD PARK,WBH,40-49,F,1
EAST GARFIELD PARK,WBH,60-69,M,1
EAST GARFIELD PARK,WHI,0-19,F,1
EAST GARFIELD PARK,WHI,20-29,M,3
EAST GARFIELD PARK,WHI,30-39,M,5
EAST GARFIELD PARK,WHI,50-59,M,2
EAST GARFIELD PARK,WHI,UNKNOWN,M,2
EAST GARFIELD PARK,WWH,0-19,F,2
EAST GARFIELD PARK,WWH,0-19,M,2
EAST GARFIELD PARK,WWH,20-29,F,1
EAST GARFIELD PARK,WWH,20-29,M,9
EAST GARFIELD PARK,WWH,30-39,F,2
EAST GARFIELD PARK,WWH,30-39,M,7
EAST GARFIELD PARK,WWH,40-49,M,5
EAST GARFIELD PARK,WWH,50-59,M,1
EAST SIDE,BLK,0-19,M,8
EAST SIDE,BLK,20-29,F,1
EAST SIDE,BLK,20-29,M,8
EAST SIDE,BLK,30-39,M,1
EAST SIDE,BLK,60-69,M,1
EAST SIDE,UNKNOWN,30-39,M,1
