COMMUNITY_AREA,RACE,AGE,SEX,Count,TOTAL_VICTIMS_BY_GROUP
BRIGHTON PARK,BLK,50-59,M,3,1034
BRIGHTON PARK,BLK,60-69,M,1,315
BRIGHTON PARK,UNKNOWN,20-29,M,4,131
BRIGHTON PARK,UNKNOWN,UNKNOWN,UNKNOWN,3,593
BRIGHTON PARK,WBH,0-19,M,2,54
BRIGHTON PARK,WBH,20-29,F,1,20
BRIGHTON PARK,WBH,20-29,M,3,128
BRIGHTON PARK,WBH,30-39,F,1,9
BRIGHTON PARK,WHI,0-19,M,6,108
BRIGHTON PARK,WHI,20-29,F,3,73
BRIGHTON PARK,WHI,20-29,M,14,340
BRIGHTON PARK,WHI,30-39,F,2,48
BRIGHTON PARK,WHI,30-39,M,5,239
BRIGHTON PARK,WHI,50-59,F,2,16
BRIGHTON PARK,WHI,50-59,M,2,88
BRIGHTON PARK,WHI,70-79,F,1,6
BRIGHTON PARK,WWH,0-19,F,11,232
BRIGHTON PARK,WWH,0-19,M,141,1716
BRIGHTON PARK,WWH,20-29,F,22,381
BRIGHTON PARK,WWH,20-29,M,181,2923
BRIGHTON PARK,WWH,30-39,F,6,165
BRIGHTON PARK,WWH,30-39,M,65,1262
BRIGHTON PARK,WWH,30-39,UNKNOWN,1,1
BRIGHTON PARK,WWH,40-49,F,4,65
BRIGHTON PARK,WWH,40-49,M,26,463
BRIGHTON PARK,WWH,50-59,M,9,161
BRIGHTON PARK,WWH,60-69,F,1,6
BRIGHTON PARK,WWH,60-69,M,2,59
BRIGHTON PARK,WWH,70-79,M,2,13
BRIGHTON PARK,WWH,80+,M,1,2
BRIGHTON PARK,WWH,UNKNOWN,F,1,5
BURNSIDE,BLK,0-19,F,3,999
BURNSIDE,BLK,0-19,M,21,7161
BURNSIDE,BLK,20-29,F,5,1776
BURNSIDE,BLK,20-29,M,25,13644
BURNSIDE,BLK,30-39,F,2,862
BURNSIDE,BLK,30-39,M,16,6563
BURNSIDE,BLK,40-49,F,1,403
BURNSIDE,BLK,40-49,M,7,2335
BURNSIDE,BLK,50-59,F,1,230
BURNSIDE,BLK,50-59,M,1,1034
BURNSIDE,BLK,60-69,F,2,91
BURNSIDE,BLK,60-69,M,1,315
BURNSIDE,UNKNOWN,30-39,M,1,63
BURNSIDE,UNKNOWN,UNKNOWN,UNKNOWN,1,593
BURNSIDE,WHI,40-49,M,1,122
BURNSIDE,WWH,20-29,M,1,2923
CALUMET HEIGHTS,BLK,0-19,F,10,999
CALUMET HEIGHTS,BLK,0-19,M,50,7161
CALUMET HEIGHTS,BLK,20-29,F,9,1776
CALUMET HEIGHTS,BLK,20-29,M,102,13644
CALUMET HEIGHTS,BLK,30-39,F,2,862
CALUMET HEIGHTS,BLK,30-39,M,35,6563
CALUMET HEIGHTS,BLK,40-49,F,4,403
CALUMET HEIGHTS,BLK,40-49,M,19,2335
CALUMET HEIGHTS,BLK,50-59,F,2,230
CALUMET HEIGHTS,BLK,50-59,M,4,1034
CALUMET HEIGHTS,BLK,60-69,M,3,315
CALUMET HEIGHTS,BLK,70-79,F,1,23
CALUMET HEIGHTS,BLK,70-79,M,1,68
CALUMET HEIGHTS,UNKNOWN,20-29,M,1,131
CALUMET HEIGHTS,UNKNOWN,20-29,UNKNOWN,1,21
CALUMET HEIGHTS,UNKNOWN,40-49,F,1,4
CALUMET HEIGHTS,UNKNOWN,UNKNOWN,UNKNOWN,2,593
CALUMET HEIGHTS,WWH,0-19,M,4,1716
CALUMET HEIGHTS,WWH,20-29,M,1,2923
CALUMET HEIGHTS,WWH,40-49,M,1,463
CHATHAM,API,20-29,M,4,67
CHATHAM,BLK,0-19,F,35,999
CHATHAM,BLK,0-19,M,202,7161
CHATHAM,BLK,20-29,F,64,1776
CHATHAM,BLK,20-29,M,406,13644
CHATHAM,BLK,30-39,F,24,862
CHATHAM,BLK,30-39,M,186,6563
CHATHAM,BLK,40-49,F,15,403
CHATHAM,BLK,40-49,M,86,2335
CHATHAM,BLK,50-59,F,10,230
CHATHAM,BLK,50-59,M,38,1034
CHATHAM,BLK,60-69,M,21,315
CHATHAM,BLK,70-79,M,3,68
CHATHAM,BLK,80+,M,5,21
CHATHAM,BLK,UNKNOWN,M,1,47
CHATHAM,UNKNOWN,0-19,UNKNOWN,1,19
CHATHAM,UNKNOWN,20-29,M,6,131
CHATHAM,UNKNOWN,20-29,UNKNOWN,1,21
CHATHAM,UNKNOWN,30-39,F,1,16
CHATHAM,UNKNOWN,30-39,M,1,63
CHATHAM,UNKNOWN,UNKNOWN,UNKNOWN,15,593
CHATHAM,WBH,20-29,M,1,128
CHATHAM,WHI,20-29,F,1,73
CHATHAM,WHI,30-39,F,1,48
CHATHAM,WHI,30-39,M,4,239
CHATHAM,WHI,40-49,M,2,122
CHATHAM,WHI,60-69,M,1,45
CHATHAM,WWH,20-29,F,1,381
CHATHAM,WWH,20-29,M,5,2923
CHATHAM,WWH,30-39,F,4,165
CHATHAM,WWH,30-39,M,4,1262
CHATHAM,WWH,40-49,F,1,65
CHATHAM,WWH,40-49,M,1,463
CHATHAM,WWH,UNKNOWN,F,1,5
CHATHAM,WWH,UNKNOWN,M,1,10
CHICAGO LAWN,API,20-29,M,2,67
CHICAGO LAWN,API,30-39,M,1,36
CHICAGO LAWN,API,50-59,M,1,19
CHICAGO LAWN,BLK,0-19,F,44,999
CHICAGO LAWN,BLK,0-19,M,280,7161
CHICAGO LAWN,BLK,20-29,F,56,1776
CHICAGO LAWN,BLK,20-29,M,408,13644
CHICAGO LAWN,BLK,30-39,F,27,862
CHICAGO LAWN,BLK,30-39,M,190,6563
CHICAGO LAWN,BLK,40-49,F,13,403
CHICAGO LAWN,BLK,40-49,M,61,2335
CHICAGO LAWN,BLK,50-59,F,9,230
CHICAGO LAWN,BLK,50-59,M,27,1034
CHICAGO LAWN,BLK,60-69,F,2,91
CHICAGO LAWN,BLK,60-69,M,2,315
CHICAGO LAWN,BLK,70-79,M,1,68
CHICAGO LAWN,BLK,UNKNOWN,F,1,12
CHICAGO LAWN,BLK,UNKNOWN,M,1,47
CHICAGO LAWN,UNKNOWN,0-19,M,1,74
CHICAGO LAWN,UNKNOWN,20-29,M,3,131
CHICAGO LAWN,UNKNOWN,20-29,UNKNOWN,2,21
CHICAGO LAWN,UNKNOWN,30-39,F,1,16
CHICAGO LAWN,UNKNOWN,30-39,M,2,63
CHICAGO LAWN,UNKNOWN,40-49,M,1,20
CHICAGO LAWN,UNKNOWN,50-59,M,1,8
CHICAGO LAWN,UNKNOWN,UNKNOWN,UNKNOWN,17,593
CHICAGO LAWN,WBH,0-19,F,1,10
CHICAGO LAWN,WBH,20-29,M,5,128
CHICAGO LAWN,WBH,30-39,M,4,64
CHICAGO LAWN,WHI,0-19,F,1,30
CHICAGO LAWN,WHI,0-19,M,2,108
CHICAGO LAWN,WHI,20-29,F,2,73
CHICAGO LAWN,WHI,20-29,M,5,340
CHICAGO LAWN,WHI,30-39,F,1,48
CHICAGO LAWN,WHI,30-39,M,4,239
CHICAGO LAWN,WHI,40-49,M,3,122
CHICAGO LAWN,WHI,50-59,M,4,88
CHICAGO LAWN,WWH,0-19,F,10,232
CHICAGO LAWN,WWH,0-19,M,73,1716
CHICAGO LAWN,WWH,20-29,F,16,381
CHICAGO LAWN,WWH,20-29,M,95,2923
CHICAGO LAWN,WWH,30-39,F,11,165
CHICAGO LAWN,WWH,30-39,M,40,1262
CHICAGO LAWN,WWH,40-49,F,3,65
CHICAGO LAWN,WWH,40-49,M,20,463
CHICAGO LAWN,WWH,50-59,M,5,161
CHICAGO LAWN,WWH,60-69,M,5,59
CHICAGO LAWN,WWH,70-79,F,1,4
CHICAGO LAWN,WWH,70-79,M,1,13
CHICAGO LAWN,WWH,UNKNOWN,F,1,5
CLEARING,BLK,20-29,M,1,13644
CLEARING,BLK,30-39,M,2,6563
CLEARING,BLK,40-49,M,1,2335
CLEARING,WHI,20-29,M,3,340
CLEARING,WHI,30-39,M,4,239
CLEARING,WHI,60-69,F,1,10
CLEARING,WWH,0-19,F,1,232
CLEARING,WWH,0-19,M,6,1716
CLEARING,WWH,20-29,M,7,2923
CLEARING,WWH,30-39,M,3,1262
CLEARING,WWH,40-49,M,1,463
DOUGLAS,API,0-19,M,1,10
DOUGLAS,API,20-29,M,1,67
DOUGLAS,BLK,0-19,F,12,999
DOUGLAS,BLK,0-19,M,60,7161
DOUGLAS,BLK,0-19,UNKNOWN,1,6
DOUGLAS,BLK,20-29,F,8,1776
DOUGLAS,BLK,20-29,M,101,13644
DOUGLAS,BLK,30-39,F,8,862
DOUGLAS,BLK,30-39,M,50,6563
DOUGLAS,BLK,40-49,F,3,403
DOUGLAS,BLK,40-49,M,17,2335
DOUGLAS,BLK,50-59,F,2,230
DOUGLAS,BLK,50-59,M,8,1034
DOUGLAS,BLK,60-69,F,3,91
DOUGLAS,BLK,60-69,M,5,315
DOUGLAS,BLK,70-79,F,1,23
DOUGLAS,BLK,80+,F,1,14
DOUGLAS,BLK,UNKNOWN,F,1,12
DOUGLAS,BLK,UNKNOWN,M,2,47
DOUGLAS,UNKNOWN,0-19,M,1,74
DOUGLAS,UNKNOWN,20-29,F,1,29
DOUGLAS,UNKNOWN,20-29,M,2,131
DOUGLAS,UNKNOWN,UNKNOWN,UNKNOWN,3,593
DOUGLAS,WBH,50-59,M,1,7
DOUGLAS,WWH,30-39,M,1,1262
DUNNING,API,60-69,M,1,3
DUNNING,BLK,30-39,M,1,6563
DUNNING,BLK,40-49,M,1,2335
DUNNING,UNKNOWN,UNKNOWN,UNKNOWN,2,593
DUNNING,WBH,0-19,M,1,54
DUNNING,WBH,20-29,M,1,128
DUNNING,WHI,0-19,F,1,30
DUNNING,WHI,0-19,M,1,108
DUNNING,WHI,20-29,F,1,73
DUNNING,WHI,20-29,M,8,340
DUNNING,WHI,30-39,F,1,48
DUNNING,WHI,30-39,M,3,239
DUNNING,WHI,40-49,F,1,26
DUNNING,WHI,40-49,M,2,122
DUNNING,WHI,50-59,M,1,88
DUNNING,WHI,60-69,F,1,10
DUNNING,WHI,60-69,M,1,45
DUNNING,WHI,80+,F,1,3
DUNNING,WWH,0-19,F,1,232
DUNNING,WWH,0-19,M,2,1716
DUNNING,WWH,20-29,F,1,381
